role,skills
ML Engineer,"Python, TensorFlow, PyTorch, SQL, Machine Learning, Deep Learning, Scikit-learn"
Data Scientist,"Python, Pandas, NumPy, Machine Learning, Data Visualization, Statistics"
Backend Developer,"Node.js, Express.js, MongoDB, REST APIs, SQL, Authentication"
Frontend Developer,"React, JavaScript, HTML, CSS, Redux, Responsive Design"
Full Stack Developer,"React, Node.js, Express.js, MongoDB, APIs, Git"
AI Engineer,"Python, NLP, Transformers, LangChain, Vector Databases, LLMs"
DevOps Engineer,"Docker, Kubernetes, Jenkins, AWS, CI/CD, Linux"
Cloud Engineer,"AWS, Azure, GCP, Networking, Linux, Terraform"
Cybersecurity Analyst,"Network Security, Ethical Hacking, SIEM, Linux, Python"
Mobile App Developer,"Flutter, Dart, Android, iOS, Firebase"
Software Engineer,"DSA, OOP, Java, Python, Git, System Design"
Data Engineer,"SQL, Apache Spark, Hadoop, ETL, Python, Data Warehousing"
QA Automation Engineer,"Selenium, Playwright, Cypress, JavaScript, API Testing"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Web3.js"
Game Developer,"Unity, C#, Unreal Engine, Game Physics"
UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping, User Research"
Site Reliability Engineer,"Monitoring, Kubernetes, Linux, AWS, Incident Management"
Embedded Systems Engineer,"C, C++, Microcontrollers, RTOS, Embedded Linux"
Database Administrator,"MySQL, PostgreSQL, Backup, Performance Tuning, SQL"
Product Manager,"Agile, Roadmapping, Stakeholder Management, Market Research"
